city,month,temperature_celsius,humidity_percent,device_type,star_rating,usage_hours,energy_consumption_kwh
Mumbai,4,33.2,73.0,Desktop Computer,4,7.4,1.9513
Satara,1,20.8,41.5,Iron,5,1.0,0.9028
Mumbai,4,29.4,72.8,Washing Machine,3,0.5,0.2934
Satara,7,24.0,83.3,Ceiling Fan,3,7.4,0.6997
Mumbai,1,17.4,19.6,Microwave Oven,2,8.5,10.7289
Satara,8,37.8,56.1,LED TV,2,20.6,2.0933
Mumbai,11,31.5,73.1,Water Heater (Geyser),3,18.1,47.3335
Satara,6,29.2,40.3,Air Conditioner,5,7.3,13.1845
Mumbai,5,32.7,57.8,Washing Machine,3,1.2,0.6941
Mumbai,10,41.7,45.6,Ceiling Fan,2,14.5,2.0085
Mumbai,7,26.3,87.3,Iron,2,0.9,1.0634
Mumbai,3,28.3,69.3,Desktop Computer,1,4.9,1.7693
Mumbai,1,21.5,65.2,Iron,2,0.7,0.7897
Mumbai,3,27.5,61.7,LED TV,3,7.3,0.6309
Mumbai,11,26.9,61.4,Washing Machine,3,1.6,0.9144
Satara,5,31.3,46.0,Ceiling Fan,3,14.8,1.5136
Mumbai,1,14.9,76.2,Desktop Computer,3,0.5,0.1354
Satara,3,26.5,49.9,Air Conditioner,5,3.1,5.3833
Mumbai,5,31.2,75.5,Iron,4,0.5,0.5347
Mumbai,4,33.2,61.3,Room Heater,3,2.6,6.1357
Satara,10,31.8,60.8,Refrigerator,1,23.8,6.5093
Mumbai,3,27.3,62.4,Iron,4,0.5,0.509
Satara,7,24.5,82.6,Water Heater (Geyser),5,1.4,2.8161
Satara,8,24.2,83.8,Washing Machine,1,1.7,1.2535
Mumbai,4,29.6,69.8,LED TV,1,6.7,0.7357
Satara,8,26.4,77.7,Water Heater (Geyser),4,0.9,2.0773
Mumbai,6,31.2,87.7,Room Heater,2,2.8,7.2736
Mumbai,8,29.2,98.0,Washing Machine,1,1.2,0.9418
Satara,1,40.4,20.3,Ceiling Fan,2,13.7,1.7683
Mumbai,11,31.7,50.0,Air Conditioner,5,4.6,8.8335
Satara,11,27.5,52.8,Washing Machine,1,1.1,0.7845
Satara,3,25.8,28.7,Washing Machine,4,0.8,0.3715
Satara,12,23.6,43.7,Air Conditioner,1,10.5,27.4284
Satara,11,25.6,40.8,Refrigerator,3,20.4,3.8075
Satara,10,28.4,66.8,Iron,5,1.0,0.9536
Mumbai,10,36.7,69.3,Iron,5,13.4,13.5117
Satara,5,36.9,78.2,Iron,4,23.6,25.7036
Satara,7,25.4,81.9,Water Heater (Geyser),2,2.6,7.3125
Satara,5,31.9,51.8,Microwave Oven,5,1.3,1.4821
Mumbai,6,30.7,70.3,Ceiling Fan,4,12.7,1.0825
Mumbai,7,30.6,85.5,Ceiling Fan,4,12.9,1.1389
Satara,8,26.1,88.9,Refrigerator,4,23.3,4.0139
Satara,5,32.8,55.5,Washing Machine,2,1.7,1.1062
Satara,7,11.1,66.8,Water Heater (Geyser),3,3.0,6.36
Mumbai,8,11.8,71.3,Room Heater,2,23.5,48.2018
Mumbai,12,27.5,62.3,Microwave Oven,4,1.2,1.4977
Mumbai,11,21.3,62.8,Refrigerator,4,20.4,3.1777
Satara,12,14.4,68.1,Room Heater,2,14.5,30.7292
Satara,6,16.3,75.0,Room Heater,3,16.9,33.2178
Mumbai,3,25.7,71.0,Washing Machine,2,0.9,0.5788
Mumbai,8,29.2,84.4,Iron,5,0.6,0.607
Satara,11,31.3,60.2,Ceiling Fan,5,19.1,1.2794
Satara,4,19.4,32.6,Ceiling Fan,2,4.4,0.4198
Satara,10,25.2,54.5,LED TV,5,3.8,0.2682
Satara,9,28.2,84.7,LED TV,4,6.2,0.5079
Mumbai,4,30.4,62.1,LED TV,4,4.1,0.339
Mumbai,10,30.2,79.6,Refrigerator,3,20.7,4.2879
Satara,12,21.5,39.3,Air Conditioner,5,4.0,6.1529
Satara,10,23.4,37.1,Water Heater (Geyser),1,14.9,41.8655
Satara,11,24.4,49.9,Water Heater (Geyser),4,1.5,3.2126
Satara,4,32.9,52.0,Refrigerator,2,23.5,5.6921
Mumbai,12,24.2,67.2,Desktop Computer,1,2.6,0.8983
Mumbai,6,31.6,76.6,Refrigerator,4,23.6,4.2482
Mumbai,7,40.7,46.0,Air Conditioner,1,20.1,74.0976
Satara,9,24.3,80.1,Air Conditioner,5,4.0,6.8467
Mumbai,5,34.3,84.8,Refrigerator,4,10.1,1.9284
Satara,6,28.6,77.8,Desktop Computer,3,5.8,1.7007
Mumbai,9,32.8,71.4,Ceiling Fan,5,9.8,0.6721
Mumbai,1,30.6,65.7,Ceiling Fan,4,6.6,0.5693
Satara,8,23.8,89.1,Desktop Computer,2,9.1,2.9294
Mumbai,4,30.0,56.4,Washing Machine,5,0.8,0.3347
Satara,3,28.1,36.7,Room Heater,5,6.0,10.6497
Satara,10,13.5,87.8,Microwave Oven,3,8.2,10.7823
Mumbai,8,12.3,63.3,Washing Machine,1,23.2,15.4965
Mumbai,11,16.2,77.7,Iron,3,23.0,24.7833
Mumbai,2,28.5,56.9,Washing Machine,1,1.0,0.7276
Satara,6,30.9,62.3,Refrigerator,1,21.2,5.6422
Satara,12,25.9,62.6,Washing Machine,2,14.5,9.4325
Mumbai,4,45.1,83.1,Ceiling Fan,1,12.8,2.2491
Mumbai,12,29.8,73.2,Microwave Oven,2,0.7,1.0695
Mumbai,1,27.9,65.9,Desktop Computer,3,4.4,1.2436
Mumbai,9,27.9,74.7,Air Conditioner,3,10.3,25.0267
Satara,2,42.4,41.4,LED TV,4,19.7,1.6467
Mumbai,9,29.1,90.1,Ceiling Fan,1,13.0,1.8509
Satara,6,28.9,67.3,Microwave Oven,3,0.6,0.8249
Satara,6,30.3,81.6,Air Conditioner,2,8.6,25.1749
Satara,8,28.1,80.2,Ceiling Fan,5,23.7,1.5189
Mumbai,5,34.3,82.5,Water Heater (Geyser),3,0.9,2.5283
Satara,4,30.4,30.0,LED TV,5,3.1,0.2091
Mumbai,1,26.6,59.6,Refrigerator,3,20.9,4.0729
Mumbai,12,28.3,60.0,Washing Machine,3,1.5,0.847
Satara,10,29.0,51.7,Washing Machine,5,1.8,0.7271
Satara,9,23.8,59.7,LED TV,1,4.7,0.4852
Satara,12,41.0,31.6,Iron,1,1.4,1.7224
Satara,7,14.5,69.9,Ceiling Fan,4,19.2,1.2432
Mumbai,5,28.5,66.8,Air Conditioner,2,8.1,22.3391
Satara,8,24.4,78.8,Room Heater,4,1.7,3.4053
Satara,11,37.9,88.3,Microwave Oven,1,4.1,7.0729
Satara,2,24.0,42.7,Washing Machine,1,1.3,0.8864
Mumbai,9,31.1,81.4,Air Conditioner,3,4.1,10.8535
Satara,4,34.4,51.2,Water Heater (Geyser),1,0.6,1.9166
